날짜,노선번호,역/정류장명,승차인원,하차인원,교통수단
20230901,100번(하계동~용산구청),,118.0,48.0,버스
20230901,100번(하계동~용산구청),,128.0,109.0,버스
20230901,100번(하계동~용산구청),,243.0,164.0,버스
20230901,100번(하계동~용산구청),,41.0,46.0,버스
20230901,100번(하계동~용산구청),,54.0,85.0,버스
20230901,100번(하계동~용산구청),,64.0,25.0,버스
20230901,100번(하계동~용산구청),,167.0,100.0,버스
20230901,100번(하계동~용산구청),,215.0,148.0,버스
20230901,100번(하계동~용산구청),,113.0,67.0,버스
20230901,100번(하계동~용산구청),,80.0,71.0,버스
20230901,100번(하계동~용산구청),,282.0,99.0,버스
20230901,100번(하계동~용산구청),,122.0,272.0,버스
20230901,100번(하계동~용산구청),,155.0,80.0,버스
20230901,100번(하계동~용산구청),,70.0,155.0,버스
20230901,100번(하계동~용산구청),,95.0,86.0,버스
20230901,100번(하계동~용산구청),,80.0,110.0,버스
20230901,100번(하계동~용산구청),,110.0,353.0,버스
20230901,100번(하계동~용산구청),,216.0,117.0,버스
20230901,100번(하계동~용산구청),,172.0,381.0,버스
20230901,100번(하계동~용산구청),,64.0,206.0,버스
20230901,100번(하계동~용산구청),,34.0,176.0,버스
20230901,100번(하계동~용산구청),,71.0,70.0,버스
20230901,100번(하계동~용산구청),,364.0,152.0,버스
20230901,100번(하계동~용산구청),,93.0,154.0,버스
20230901,101번(화계사~동대문),,52.0,10.0,버스
20230901,101번(화계사~동대문),,45.0,330.0,버스
20230901,101번(화계사~동대문),,1026.0,260.0,버스
20230901,101번(화계사~동대문),,294.0,419.0,버스
20230901,101번(화계사~동대문),,20.0,119.0,버스
20230901,101번(화계사~동대문),,297.0,127.0,버스
20230901,101번(화계사~동대문),,88.0,518.0,버스
20230901,101번(화계사~동대문),,352.0,167.0,버스
20230901,101번(화계사~동대문),,124.0,310.0,버스
20230901,101번(화계사~동대문),,291.0,9.0,버스
20230901,101번(화계사~동대문),,1.0,127.0,버스
20230901,101번(화계사~동대문),,1.0,87.0,버스
20230901,101번(화계사~동대문),,49.0,299.0,버스
20230901,101번(화계사~동대문),,315.0,329.0,버스
20230901,101번(화계사~동대문),,349.0,1004.0,버스
20230901,101번(화계사~동대문),,275.0,83.0,버스
20230901,101번(화계사~동대문),,273.0,268.0,버스
20230901,101번(화계사~동대문),,175.0,198.0,버스
20230901,101번(화계사~동대문),,645.0,572.0,버스
20230901,101번(화계사~동대문),,314.0,267.0,버스
20230901,101번(화계사~동대문),,493.0,176.0,버스
20230901,101번(화계사~동대문),,474.0,228.0,버스
20230901,101번(화계사~동대문),,229.0,411.0,버스
20230901,101번(화계사~동대문),,242.0,217.0,버스
20230901,101번(화계사~동대문),,407.0,204.0,버스
20230901,101번(화계사~동대문),,252.0,193.0,버스
20230901,101번(화계사~동대문),,136.0,504.0,버스
20230901,101번(화계사~동대문),,136.0,182.0,버스
20230901,101번(화계사~동대문),,306.0,329.0,버스
20230901,101번(화계사~동대문),,166.0,168.0,버스
20230901,101번(화계사~동대문),,316.0,241.0,버스
20230901,101번(화계사~동대문),,262.0,426.0,버스
20230901,101번(화계사~동대문),,257.0,242.0,버스
20230901,101번(화계사~동대문),,43.0,0.0,버스
20230901,101번(화계사~동대문),,22.0,0.0,버스
20230901,101번(화계사~동대문),,483.0,303.0,버스
20230901,101번(화계사~동대문),,209.0,219.0,버스
20230901,101번(화계사~동대문),,221.0,287.0,버스
20230901,101번(화계사~동대문),,1.0,57.0,버스
20230901,101번(화계사~동대문),,1.0,80.0,버스
20230901,101번(화계사~동대문),,486.0,38.0,버스
