교통수단,노선번호,승차인원,하차인원
버스,100번(하계동~용산구청),136.0046838407494,132.14519906323184
버스,101번(화계사~동대문),200.23875432525952,195.5847750865052
버스,102번(상계동~동대문),191.62970711297072,188.01673640167365
버스,104번(강북청소년수련관난나~숭례문),162.646420824295,158.20390455531452
버스,105번(상계동~서울역),126.64950166112956,123.3687707641196
버스,106번(의정부~동대문),103.83650793650794,102.07619047619048
버스,"110번(A,고려대방향,정릉~정릉)",164.41883116883116,161.02597402597402
버스,130번(우이동~길동),314.41883116883116,308.35714285714283
버스,140번(도봉산역~AT센터),256.7192118226601,250.60426929392446
버스,141번(도봉산~염곡동),167.05714285714285,162.68571428571428
버스,142번(도봉동~고속터미널),228.83153638814017,222.4043126684636
버스,143번(정릉~개포동),330.4810126582278,183.13924050632912
